,aircraft,travellers_type,Seat_type,route,date_flown
3204,,,Premium Economy,,
3205,,,Business Class,,
3206,,,Business Class,,
3207,,,Premium Economy,,
3208,,,First Class,,
3209,,,Business Class,,
3210,,,Economy Class,,
3211,,,Premium Economy,,
3212,,,Economy Class,,
3213,,,Business Class,,
3214,,,Business Class,,
3215,,,Business Class,,
3216,,,Business Class,,
3217,,,First Class,,
3218,,,Business Class,,
3219,,,Premium Economy,,
3220,,,Premium Economy,,
3221,,,First Class,,
3222,,,First Class,,
3223,,,Economy Class,,
3224,,,Business Class,,
3225,,,Economy Class,,
3226,,,Business Class,,
3227,,,Economy Class,,
3228,,,Premium Economy,,
3229,,,Business Class,,
3230,,,Economy Class,,
3231,,,Economy Class,,
3232,,,Economy Class,,
3233,,,Premium Economy,,
3234,,,Economy Class,,
3235,,,Economy Class,,
3236,,,Economy Class,,
3237,,,Business Class,,
3238,,,Business Class,,
3239,,,Economy Class,,
3240,,,Business Class,,
3241,,,Economy Class,,
3242,,,Business Class,,
3243,,,Economy Class,,
3244,,,First Class,,
3245,,,Economy Class,,
3246,,,Business Class,,
3247,,,Economy Class,,
3248,,,Business Class,,
3249,,,Business Class,,
3250,,,Economy Class,,
3251,,,Economy Class,,
3252,,,Business Class,,
3253,,,Premium Economy,,
3254,,,Business Class,,
3255,,,Economy Class,,
3256,,,Economy Class,,
3257,,,Business Class,,
3258,,,Business Class,,
3259,,,First Class,,
3260,,,Business Class,,
3261,,,Premium Economy,,
3262,,,Business Class,,
3263,,,Premium Economy,,
3264,,,Business Class,,
3265,,,Business Class,,
3266,,,Economy Class,,
3267,,,Economy Class,,
3268,,,Business Class,,
3269,,,Economy Class,,
3270,,,Economy Class,,
3271,,,Business Class,,
3272,,,Premium Economy,,
3273,,,Economy Class,,
3274,,,Economy Class,,
3275,,,Business Class,,
3276,,,First Class,,
3277,,,Business Class,,
3278,,,Economy Class,,
3279,,,Economy Class,,
3280,,,Economy Class,,
3281,,,Economy Class,,
3282,,,Economy Class,,
3283,,,Economy Class,,
3284,,,Business Class,,
3285,,,Economy Class,,
3286,,,Premium Economy,,
3287,,,Business Class,,
3288,,,Economy Class,,
3289,,,Economy Class,,
3290,,,First Class,,
3291,,,First Class,,
3292,,,Economy Class,,
3293,,,Economy Class,,
3294,,,Business Class,,
3295,,,Economy Class,,
3296,,,Business Class,,
3297,,,Business Class,,
3298,,,Business Class,,
3299,,,Business Class,,
3300,,,Economy Class,,
3301,,,Economy Class,,
3302,,,Economy Class,,
3303,,,Business Class,,
3304,,,Economy Class,,
3305,,,Economy Class,,
3306,,,Business Class,,
3307,,,Economy Class,,
3308,,,Economy Class,,
3309,,,Business Class,,
3310,,,Business Class,,
3311,,,Business Class,,
3312,,,Economy Class,,
3313,,,Economy Class,,
3314,,,Economy Class,,
3315,,,Economy Class,,
3316,,,Business Class,,
3317,,,Business Class,,
3318,,,Business Class,,
3319,,,Economy Class,,
3320,,,Business Class,,
3321,,,Business Class,,
3322,,,Business Class,,
3323,,,Business Class,,
3324,,,Economy Class,,
3325,,,Premium Economy,,
3326,,,Business Class,,
3327,,,Business Class,,
3328,,,Premium Economy,,
3329,,,Economy Class,,
3330,,,Economy Class,,
3331,,,First Class,,
3332,,,Economy Class,,
3333,,,Economy Class,,
3334,,,Premium Economy,,
3335,,,Economy Class,,
3336,,,Economy Class,,
3337,,,Economy Class,,
3338,,,Economy Class,,
3339,,,Business Class,,
3340,,,Business Class,,
3341,,,First Class,,
3342,,,Economy Class,,
3343,,,First Class,,
3344,,,First Class,,
3345,,,Economy Class,,
3346,,,Premium Economy,,
3347,,,Economy Class,,
3348,,,Economy Class,,
3349,,,Business Class,,
3350,,,Economy Class,,
3351,,,First Class,,
3352,,,Economy Class,,
3353,,,Business Class,,
3354,,,Business Class,,
3355,,,Business Class,,
3356,,,Economy Class,,
3357,,,Premium Economy,,
3358,,,Business Class,,
3359,,,Economy Class,,
3360,,,Business Class,,
3361,,,Business Class,,
3362,,,Economy Class,,
3363,,,Business Class,,
3364,,,Business Class,,
3365,,,Economy Class,,
3366,,,Premium Economy,,
3367,,,Business Class,,
3368,,,Business Class,,
3369,,,First Class,,
3370,,,First Class,,
3371,,,Economy Class,,
3372,,,Business Class,,
3373,,,Economy Class,,
3374,,,Business Class,,
3375,,,Economy Class,,
3376,,,Business Class,,
3377,,,First Class,,
3378,,,Economy Class,,
3379,,,Economy Class,,
3380,,,Economy Class,,
3381,,,Economy Class,,
3382,,,Economy Class,,
3383,,,Business Class,,
3384,,,First Class,,
3385,,,Business Class,,
3386,,,Economy Class,,
3387,,,Economy Class,,
3388,,,Economy Class,,
3389,,,First Class,,
3390,,,Business Class,,
3391,,,Economy Class,,
3392,,,Business Class,,
3393,,,Premium Economy,,
3394,,,First Class,,
3395,,,Economy Class,,
3396,,,Economy Class,,
3397,,,Business Class,,
3398,,,Business Class,,
3399,,,First Class,,
3400,,,Economy Class,,
3401,,,Business Class,,
3402,,,Economy Class,,
3403,,,Economy Class,,
3404,,,Economy Class,,
3405,,,Business Class,,
3406,,,Business Class,,
3407,,,Economy Class,,
3408,,,Economy Class,,
3409,,,Economy Class,,
3410,,,First Class,,
3411,,,Business Class,,
3412,,,First Class,,
3413,,,Business Class,,
3414,,,Economy Class,,
3415,,,Premium Economy,,
3416,,,Economy Class,,
3417,,,Business Class,,
3418,,,Economy Class,,
3419,,,Economy Class,,
3420,,,Business Class,,
3421,,,Business Class,,
3422,,,Economy Class,,
3423,,,Business Class,,
3424,,,Business Class,,
3425,,,Economy Class,,
3426,,,Business Class,,
3427,,,Premium Economy,,
3428,,,First Class,,
3429,,,Economy Class,,
3430,,,Economy Class,,
3431,,,Business Class,,
3432,,,Economy Class,,
3433,,,Business Class,,
3434,,,Business Class,,
3435,,,Economy Class,,
3436,,,Business Class,,
3437,,,Economy Class,,
3438,,,Business Class,,
3439,,,Premium Economy,,
3440,,,Business Class,,
3441,,,Premium Economy,,
3442,,,Business Class,,
3443,,,First Class,,
3444,,,Business Class,,
3445,,,Business Class,,
3446,,,Business Class,,
3447,,,Premium Economy,,
3448,,,Business Class,,
3449,,,Business Class,,
3450,,,Economy Class,,
3451,,,Business Class,,
3452,,,Economy Class,,
3453,,,Business Class,,
3454,,,Premium Economy,,
3455,,,First Class,,
3456,,,Premium Economy,,
3457,,,First Class,,
3458,,,Economy Class,,
3459,,,Business Class,,
3460,,,Business Class,,
3461,,,Business Class,,
3462,,,First Class,,
3463,,,Business Class,,
3464,,,Economy Class,,
3465,,,Economy Class,,
3466,,,Economy Class,,
3467,,,Economy Class,,
3468,,,Economy Class,,
3469,,,Premium Economy,,
3470,,,Business Class,,
3471,,,Premium Economy,,
3472,,,Economy Class,,
3473,,,Premium Economy,,
3474,,,Premium Economy,,
3475,,,First Class,,
3476,,,Economy Class,,
3477,,,Business Class,,
3478,,,Economy Class,,
3479,,,Economy Class,,
3480,,,Economy Class,,
3481,,,Premium Economy,,
3482,,,Economy Class,,
3483,,,Premium Economy,,
3484,,,Economy Class,,
3485,,,Business Class,,
3486,,,First Class,,
3487,,,Business Class,,
3488,,,Economy Class,,
3489,,,Economy Class,,
3490,,,Business Class,,
3491,,,Economy Class,,
3492,,,Business Class,,
3493,,,Business Class,,
3494,,,Economy Class,,
3495,,,Economy Class,,
3496,,,Economy Class,,
3497,,,Business Class,,
3498,,,Economy Class,,
3499,,,Economy Class,,
3500,,,Economy Class,,
3501,,,Business Class,,
3502,,,Business Class,,
3503,,,Economy Class,,
3504,,,Economy Class,,
3505,,,Business Class,,
3506,,,First Class,,
3507,,,Business Class,,
3508,,,Business Class,,
3509,,,Business Class,,
3510,,,Business Class,,
3511,,,Economy Class,,
3512,,,Business Class,,
3513,,,Economy Class,,
3514,,,Business Class,,
3515,,,Business Class,,
3516,,,Economy Class,,
3517,,,Economy Class,,
3518,,,First Class,,
3519,,,Economy Class,,
3520,,,Business Class,,
3521,,,Business Class,,
3522,,,Economy Class,,
3523,,,Premium Economy,,
3524,,,Economy Class,,
3525,,,Economy Class,,
3526,,,Premium Economy,,
3527,,,Economy Class,,
3528,,,Business Class,,
3529,,,Premium Economy,,
3530,,,Economy Class,,
3531,,,Business Class,,
3532,,,Economy Class,,
3533,,,Business Class,,
3534,,,Economy Class,,
3535,,,Business Class,,
3536,,,Economy Class,,
3537,,,First Class,,
3538,,,Economy Class,,
3539,,,Economy Class,,
3540,,,Economy Class,,
3541,,,Premium Economy,,
3542,,,Economy Class,,
3543,,,Business Class,,
3544,,,Business Class,,
3545,,,Economy Class,,
3546,,,Economy Class,,
3547,,,Economy Class,,
3548,,,Business Class,,
3549,,,Business Class,,
3550,,,Business Class,,
3551,,,Economy Class,,
3552,,,Premium Economy,,
3553,,,Economy Class,,
3554,,,Business Class,,
3555,,,Economy Class,,
3556,,,Economy Class,,
3557,,,Business Class,,
3558,,,Business Class,,
3559,,,Business Class,,
3560,,,Economy Class,,
3561,,,Business Class,,
3562,,,Premium Economy,,
3563,,,Economy Class,,
3564,,,Business Class,,
3565,,,Economy Class,,
3566,,,Economy Class,,
3567,,,Economy Class,,
3568,,,Economy Class,,
3569,,,Premium Economy,,
3570,,,Business Class,,
3571,,,Business Class,,
3572,,,Business Class,,
3573,,,Premium Economy,,
3574,,,Business Class,,
3575,,,Business Class,,
3576,,,Economy Class,,
3577,,,Premium Economy,,
3578,,,Business Class,,
3579,,,Economy Class,,
3580,,,Economy Class,,
3581,,,Business Class,,
3582,,,Business Class,,
3583,,,Economy Class,,
3584,,,Economy Class,,
3585,,,Economy Class,,
3586,,,Economy Class,,
3587,,,Premium Economy,,
3588,,,First Class,,
3589,,,Business Class,,
3590,,,Economy Class,,
3591,,,Economy Class,,
3592,,,Economy Class,,
3593,,,Economy Class,,
3594,,,Economy Class,,
3595,,,Business Class,,
3596,,,Business Class,,
3597,,,Economy Class,,
3598,,,Economy Class,,
3599,,,Economy Class,,
3600,,,Economy Class,,
3601,,,Business Class,,
3602,,,Business Class,,
3603,,,Economy Class,,
3604,,,Economy Class,,
3605,,,Business Class,,
3606,,,Economy Class,,
3607,,,Economy Class,,
3608,,,Business Class,,
3609,,,Economy Class,,
3610,,,Business Class,,
3611,,,Economy Class,,
3612,,,Business Class,,
3613,,,Economy Class,,
3614,,,Premium Economy,,
3615,,,Economy Class,,
3616,,,Economy Class,,
3617,,,Premium Economy,,
3618,,,Premium Economy,,
3619,,,Business Class,,
3620,,,Business Class,,
3621,,,Economy Class,,
3622,,,Business Class,,
3623,,,Business Class,,
3624,,,Business Class,,
3625,,,Business Class,,
3626,,,Business Class,,
3627,,,Economy Class,,
3628,,,Business Class,,
3629,,,Economy Class,,
3630,,,Business Class,,
3631,,,Economy Class,,
3632,,,Economy Class,,
3633,,,Business Class,,
3634,,,Economy Class,,
3635,,,Economy Class,,
3636,,,Economy Class,,
3637,,,Business Class,,
3638,,,Economy Class,,
3639,,,Business Class,,
3640,,,Business Class,,
3641,,,Economy Class,,
3642,,,Economy Class,,
3643,,,Business Class,,
3644,,,Business Class,,
3645,,,Business Class,,
3646,,,Economy Class,,
3647,,,Economy Class,,
3648,,,Economy Class,,
3649,,,Economy Class,,
3650,,,Premium Economy,,
3651,,,Premium Economy,,
3652,,,Premium Economy,,
3653,,,Economy Class,,
3654,,,Business Class,,
3655,,,Economy Class,,
3656,,,Economy Class,,
3657,,,Business Class,,
3658,,,Economy Class,,
3659,,,Business Class,,
3660,,,Economy Class,,
3661,,,Economy Class,,
3662,,,Business Class,,
3663,,,Premium Economy,,
3664,,,Premium Economy,,
3665,,,Business Class,,
3666,,,Business Class,,
3667,,,Business Class,,
3668,,,Premium Economy,,
3669,,,Economy Class,,
3670,,,Business Class,,
3671,,,Business Class,,
3672,,,Business Class,,
3673,,,Business Class,,
3674,,,Business Class,,
3675,,,Economy Class,,
3676,,,Economy Class,,
3677,,,Business Class,,
3678,,,Business Class,,
3679,,,Business Class,,
3680,,,Economy Class,,
3681,,,Economy Class,,
3682,,,Business Class,,
3683,,,Economy Class,,
3684,,,Economy Class,,
3685,,,First Class,,
3686,,,First Class,,
3687,,,Economy Class,,
3688,,,Business Class,,
3689,,,Business Class,,
3690,,,Economy Class,,
3691,,,Economy Class,,
3692,,,Business Class,,
3693,,,Economy Class,,
3694,,,Economy Class,,
3695,,,Economy Class,,
3696,,,First Class,,
3697,,,Business Class,,
3698,,,Economy Class,,
3699,,,Business Class,,
3700,,,Business Class,,
3701,,,Business Class,,
3702,,,Premium Economy,,
3703,,,Business Class,,
3704,,,Economy Class,,
3705,,,Business Class,,
3706,,,Business Class,,
3707,,,Business Class,,
3708,,,Premium Economy,,
3709,,,Business Class,,
3710,,,Economy Class,,
3711,,,Business Class,,
3712,,,Economy Class,,
3713,,,Business Class,,
3714,,,Economy Class,,
3715,,,Economy Class,,
3716,,,First Class,,
3717,,,Business Class,,
3718,,,Economy Class,,
3719,,,Economy Class,,
3720,,,Economy Class,,
3721,,,Business Class,,
3722,,,Business Class,,
3723,,,Business Class,,
3724,,,Business Class,,
3725,,,Economy Class,,
3726,,,Economy Class,,
3727,,,Business Class,,
3728,,,Business Class,,
3729,,,Business Class,,
3730,,,Economy Class,,
3731,,,Business Class,,
3732,,,Business Class,,
3733,,,Business Class,,
3734,,,Business Class,,
3735,,,Business Class,,
3736,,,Economy Class,,
3737,,,Economy Class,,
3738,,,Economy Class,,
3739,,,Economy Class,,
3740,,,Economy Class,,
3741,,,Economy Class,,
3742,,,Economy Class,,
3743,,,Economy Class,,
3744,,,Economy Class,,
3745,,,Economy Class,,
3746,,,First Class,,
3747,,,Premium Economy,,
3748,,,Business Class,,
3749,,,Business Class,,
3750,,,Business Class,,
3751,,,Economy Class,,
3752,,,Premium Economy,,
3753,,,Economy Class,,
3754,,,Economy Class,,
3755,,,Economy Class,,
3756,,,Business Class,,
3757,,,Business Class,,
3758,,,Business Class,,
3759,,,Economy Class,,
3760,,,Premium Economy,,
3761,,,Economy Class,,
3762,,,Economy Class,,
3763,,,Premium Economy,,
3764,,,Economy Class,,
3765,,,Economy Class,,
3766,,,Premium Economy,,
3767,,,Economy Class,,
3768,,,Premium Economy,,
3769,,,First Class,,
3770,,,First Class,,
3771,,,Business Class,,
3772,,,Business Class,,
3773,,,Business Class,,
3774,,,Business Class,,
3775,,,Economy Class,,
3776,,,Economy Class,,
3777,,,Economy Class,,
3778,,,First Class,,
3779,,,Economy Class,,
3780,,,Premium Economy,,
3781,,,Economy Class,,
3782,,,Premium Economy,,
3783,,,Business Class,,
3784,,,Premium Economy,,
3785,,,Business Class,,
3786,,,First Class,,
3787,,,Economy Class,,
3788,,,Business Class,,
3789,,,Business Class,,
3790,,,Premium Economy,,
3791,,,Economy Class,,
3792,,,Economy Class,,
3793,,,Economy Class,,
3794,,,First Class,,
3795,,,Premium Economy,,
3796,,,Economy Class,,
3797,,,Business Class,,
3798,,,Business Class,,
3799,,,Business Class,,
3800,,,Business Class,,
3801,,,Business Class,,
3802,,,Economy Class,,
3803,,,Economy Class,,
3804,,,Business Class,,
3805,,,Business Class,,
3806,,,Business Class,,
3807,,,Business Class,,
3808,,,Economy Class,,
3809,,,Economy Class,,
3810,,,First Class,,
3811,,,Business Class,,
3812,,,Business Class,,
3813,,,Business Class,,
3814,,,Economy Class,,
3815,,,Economy Class,,
3816,,,Premium Economy,,
3817,,,Premium Economy,,
3818,,,Economy Class,,
3819,,,Premium Economy,,
3820,,,Economy Class,,
3821,,,Economy Class,,
3822,,,Economy Class,,
3823,,,Economy Class,,
3824,,,Economy Class,,
3825,,,Business Class,,
3826,,,Economy Class,,
3827,,,Economy Class,,
3828,,,Business Class,,
3829,,,Economy Class,,
3830,,,Business Class,,
3831,,,Business Class,,
3832,,,Business Class,,
3833,,,Premium Economy,,
3834,,,Business Class,,
3835,,,First Class,,
3836,,,Economy Class,,
3837,,,Economy Class,,
3838,,,Economy Class,,
3839,,,Business Class,,
3840,,,Economy Class,,
3841,,,Business Class,,
3842,,,Business Class,,
3843,,,Economy Class,,
3844,,,Economy Class,,
3845,,,Economy Class,,
3846,,,Economy Class,,
3847,,,Economy Class,,
3848,,,Business Class,,
3849,,,Economy Class,,
3850,,,Business Class,,
3851,,,Economy Class,,
3852,,,Business Class,,
3853,,,Economy Class,,
3854,,,First Class,,
3855,,,Business Class,,
3856,,,Business Class,,
3857,,,Economy Class,,
3858,,,Business Class,,
3859,,,Economy Class,,
3860,,,Economy Class,,
3861,,,Economy Class,,
3862,,,First Class,,
3863,,,Business Class,,
3864,,,Business Class,,
3865,,,Economy Class,,
3866,,,Business Class,,
3867,,,Business Class,,
3868,,,Business Class,,
3869,,,Business Class,,
3870,,,Economy Class,,
3871,,,Economy Class,,
3872,,,Economy Class,,
3873,,,Economy Class,,
3874,,,Economy Class,,
3875,,,First Class,,
3876,,,Economy Class,,
3877,,,Economy Class,,
